Bird,Ratio
Red-winged Blackbird (Agelaius phoeniceus),0.855768439483358
Double-crested Cormorant (Phalacrocorax auritus),0.31878038614496035
Spotted Sandpiper (Actitis macularius),0.9506869578571656
European Starling (Sturnus vulgaris),0.5523824684848645
Barn Swallow (Hirundo rustica),0.6815066621859737
Cliff Swallow (Petrochelidon pyrrhonota),0.5880668860862752
Tree Swallow (Tachycineta bicolor),0.9261105877144079
Canada Goose (Branta canadensis),0.6409007197348674
Common Merganser (Mergus merganser),2.2589197425880987
Mallard (Anas platyrhynchos),0.7513722075406015
Song Sparrow (Melospiza melodia),0.9631184914097249
Eastern Kingbird (Tyrannus tyrannus),0.6112185022069668
Black-crowned Night-Heron (Nycticorax nycticorax),0.21969355477194447
Common Grackle (Quiscalus quiscula),0.8680459660341566
Red-tailed Hawk (Buteo jamaicensis),0.634923031902437
Caspian Tern (Hydropogne caspia),0.948053351297718
Great Black-backed Gull (Larus marinus),0.22121634920820807
Herring Gull (Larus argentatus),6.1732710474285595
Ring-billed Gull (Larus delawarensis),0.3470184147040781
Gadwall (Anas strepera),0.3280285129899869
Alder Flycatcher (Empidonax alnorum),1.290488445310542
Yellow Warbler (Dendroica petechia),0.6004412132680738
Baltimore Oriole (Icterus galbula),0.4882623418483939
Brown-headed Cowbird (Molothrus ater),0.5012408666244005
Black-capped Chickadee (Poecile atricapillus),1.0863594897886604
Black-billed Cuckoo (Coccyzus erythropthalmus),0.6089276197563638
American Goldfinch (Carduelis tristis),0.9024858496120827
Northern Cardinal (Cardinalis cardinalis),0.3411765731050585
Rose-breasted Grosbeak (Pheucticus ludovicianus),0.9024212288441519
American Crow (Corvus brachyrhynchos),0.8497717695300211
Gray Catbird (Dumetella carolinensis),0.6543941341290944
Mourning Dove (Zenaida macroura),0.69433890519224
Killdeer (Charadrius vociferus),0.41253135301030275
Northern Rough-winged Swallow (Stelgidopteryx serripennis),0.3496121548096228
Purple Martin (Progne subis),0.22643862188098723
Wood Duck (Aix sponsa),0.8135289544113044
American Robin (Turdus migratorius),1.0158804439017552
Chipping Sparrow (Spizella passerina),0.8827932254763198
Eastern Towhee (Pipilo erythrophthalmus),0.45270236730196356
Field Sparrow (Spizella pusilla),0.4344664086726994
Least Flycatcher (Empidonax minimus),1.2385567421948673
Willow Flycatcher (Empidonax traillii),0.3161317974838466
Red-eyed Vireo (Vireo olivaceus),1.1060311537056497
Cedar Waxwing (Bombycilla cedrorum),1.0532464906145025
American Redstart (Setophaga ruticilla),1.0947040667234105
Common Yellowthroat (Geothlypis trichas),1.0377784302663218
Northern Flicker (Colaptes auratus),0.883405948483904
House Wren (Troglodytes aedon),0.4694509230789413
Bobolink (Dolichonyx oryzivorus),0.42617560588927506
Eastern Meadowlark (Sturnella magna),0.3296524553905055
Northern Harrier (Circus cyaneus),0.49887316464720893
