Bird,Habitat
Red-winged Blackbird (Agelaius phoeniceus),Marshes
Double-crested Cormorant (Phalacrocorax auritus),Lakes and Ponds
Spotted Sandpiper (Actitis macularius),Shorelines
European Starling (Sturnus vulgaris),Towns
Barn Swallow (Hirundo rustica),Grasslands
Cliff Swallow (Petrochelidon pyrrhonota),Lakes and Ponds
Tree Swallow (Tachycineta bicolor),Lakes and Ponds
Canada Goose (Branta canadensis),Marshes
Common Merganser (Mergus merganser),Lakes and Ponds
Mallard (Anas platyrhynchos),Lakes and Ponds
Song Sparrow (Melospiza melodia),Open Woodlands
Eastern Kingbird (Tyrannus tyrannus),Grasslands
Black-crowned Night-Heron (Nycticorax nycticorax),Marshes
Common Grackle (Quiscalus quiscula),Open Woodlands
Red-tailed Hawk (Buteo jamaicensis),Forests
Caspian Tern (Hydropogne caspia),Shorelines
Great Black-backed Gull (Larus marinus),Shorelines
Herring Gull (Larus argentatus),Shorelines
Ring-billed Gull (Larus delawarensis),Lakes and Ponds
Gadwall (Anas strepera),Marshes
Alder Flycatcher (Empidonax alnorum),Scrub
Yellow Warbler (Dendroica petechia),Open Woodlands
Baltimore Oriole (Icterus galbula),Forests
Brown-headed Cowbird (Molothrus ater),Grasslands
Black-capped Chickadee (Poecile atricapillus),Forests
Black-billed Cuckoo (Coccyzus erythropthalmus),Forests
American Goldfinch (Carduelis tristis),Open Woodlands
Northern Cardinal (Cardinalis cardinalis),Open Woodlands
Rose-breasted Grosbeak (Pheucticus ludovicianus),Forests
American Crow (Corvus brachyrhynchos),Open Woodlands
Gray Catbird (Dumetella carolinensis),Open Woodlands
Mourning Dove (Zenaida macroura),Open Woodlands
Killdeer (Charadrius vociferus),Grasslands
Northern Rough-winged Swallow (Stelgidopteryx serripennis),Rivers and Streams
Purple Martin (Progne subis),Lakes and Ponds
Wood Duck (Aix sponsa),Lakes and Ponds
American Robin (Turdus migratorius),Open Woodlands
Chipping Sparrow (Spizella passerina),Open Woodlands
Eastern Towhee (Pipilo erythrophthalmus),Scrub
Field Sparrow (Spizella pusilla),Scrub
Least Flycatcher (Empidonax minimus),Forests
Willow Flycatcher (Empidonax traillii),Marshes
Red-eyed Vireo (Vireo olivaceus),Forests
Cedar Waxwing (Bombycilla cedrorum),Open Woodlands
American Redstart (Setophaga ruticilla),Forests
Common Yellowthroat (Geothlypis trichas),Scrub
Northern Flicker (Colaptes auratus),Open Woodlands
House Wren (Troglodytes aedon),Scrub
Bobolink (Dolichonyx oryzivorus),Grasslands
Eastern Meadowlark (Sturnella magna),Grasslands
Northern Harrier (Circus cyaneus),Grasslands
Upland Sandpiper (Bartramia longicauda),Grasslands
Clay-colored Sparrow (Spizella pallida),Scrub
Savannah Sparrow (Passerculus sandwichensis),Grasslands
Turkey Vulture (Cathartes aura),Open Woodlands
Indigo Bunting (Passerina cyanea),Open Woodlands
Blue Jay (Cyanocitta cristata),Forests
Belted Kingfisher (Megaceryle alcyon),Lakes and Ponds
Brown Thrasher (Toxostoma rufum),Scrub
Wild Turkey (Meleagris gallopavo),Open Woodlands
Great Horned Owl (Bubo virginianus),Forests
Eastern Wood-Pewee (Contopus virens),Forests
Warbling Vireo (Vireo gilvus),Open Woodlands
Downy Woodpecker (Picoides pubescens),Forests
Hairy Woodpecker (Picoides villosus),Forests
Green Heron (Butorides virescens),Marshes
Yellow-billed Cuckoo (Coccyzus americanus),Open Woodlands
White-breasted Nuthatch (Sitta carolinensis),Forests
American Woodcock (Scolopax minor),Forests
Wilson's Snipe (Gallinago delicata),Marshes
Bank Swallow (Riparia riparia),Lakes and Ponds
Blue-winged Teal (Anas discors),Marshes
Veery (Catharus fuscescens),Forests
Wood Thrush (Hylocichla mustelina),Forests
Eastern Phoebe (Sayornis phoebe),Open Woodlands
Great Crested Flycatcher (Myiarchus crinitus),Open Woodlands
Ovenbird (Seiurus aurocapilla),Forests
American Bittern (Botaurus lentiginosus),Marshes
Great Blue Heron (Ardea herodias),Marshes
American Kestrel (Falco sparverius),Grasslands
House Finch (Carpodacus mexicanus),Towns
Purple Finch (Carpodacus purpureus),Forests
Pied-billed Grebe (Podilymbus podiceps),Lakes and Ponds
Ruby-throated Hummingbird (Archilochus colubris),Open Woodlands
Cooper's Hawk (Accipiter cooperii),Forests
Common Loon (Gavia immer),Lakes and Ponds
House Sparrow (Passer domesticus),Towns
